id,spox_gender_m,location_m,combat_presence_m,shot_scale_m,selfie_m
7287537715829148930.mp4_scene_1,M,Indoor,Non-combat,Medium shot,Non-selfie
7287823285566426369.mp4_scene_1,M,Indoor,Non-combat,Medium shot,Non-selfie
7287823285566426369.mp4_scene_2,no_spox,Outdoor,Combat,Empty,Non-selfie
7287823285566426369.mp4_scene_3,no_spox,Outdoor,Combat,Empty,Non-selfie
7287823285566426369.mp4_scene_4,no_spox,Outdoor,Combat,Empty,Non-selfie
7287823285566426369.mp4_scene_5,M,Indoor,Non-combat,Medium shot,Non-selfie
7287823285566426369.mp4_scene_6,no_spox,Outdoor,Combat,Full shot,Non-selfie
7287823285566426369.mp4_scene_7,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7287823285566426369.mp4_scene_8,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7287823285566426369.mp4_scene_9,M,Indoor,Non-combat,Medium shot,Non-selfie
7287823285566426369.mp4_scene_10,no_spox,Outdoor,Combat,Empty,Non-selfie
7287823285566426369.mp4_scene_11,M,Indoor,Non-combat,Medium shot,Non-selfie
7287823285566426369.mp4_scene_12,no_spox,Outdoor,Combat,Wide shot,Non-selfie
7287823285566426369.mp4_scene_13,no_spox,Indoor,Combat,Medium shot,Non-selfie
7287823285566426369.mp4_scene_14,no_spox,Outdoor,Combat,Empty,Non-selfie
7287823285566426369.mp4_scene_15,M,Indoor,Non-combat,Medium shot,Non-selfie
7287927341144083714.mp4_scene_1,M,Indoor,Non-combat,Medium shot,Non-selfie
7287978692972678402.mp4_scene_1,F,Indoor,Non-combat,Close up,Non-selfie
7287978692972678402.mp4_scene_2,F,Indoor,Non-combat,Close up,Non-selfie
7287978692972678402.mp4_scene_3,F,Indoor,Non-combat,Close up,Non-selfie
7288363457341164801.mp4_scene_1,F,Outdoor,Non-combat,Medium close up,Selfie
7288363457341164801.mp4_scene_2,no_spox,Outdoor,Non-combat,Empty,Non-selfie
7288363457341164801.mp4_scene_3,F,Outdoor,Non-combat,Medium close up,Selfie
7288363457341164801.mp4_scene_4,no_spox,Outdoor,Combat,Empty,Non-selfie
7288363457341164801.mp4_scene_5,no_spox,Outdoor,Combat,Empty,Non-selfie
7288363457341164801.mp4_scene_6,F,Outdoor,Non-combat,Close up,Selfie
7288363457341164801.mp4_scene_7,F,Outdoor,Non-combat,Medium close up,Selfie
7288863058158472449.mp4_scene_1,F,Outdoor,Combat,Medium close up,Selfie
7288863058158472449.mp4_scene_2,no_spox,Outdoor,Combat,Empty,Non-selfie
7288863058158472449.mp4_scene_3,F,Outdoor,Combat,Medium close up,Selfie
7288863058158472449.mp4_scene_4,no_spox,Outdoor,Combat,Empty,Non-selfie
7288863058158472449.mp4_scene_5,F,Outdoor,Combat,Medium close up,Selfie
7288863058158472449.mp4_scene_6,no_spox,Outdoor,Combat,Empty,Non-selfie
7288863058158472449.mp4_scene_7,no_spox,Outdoor,Combat,Empty,Non-selfie
7288863058158472449.mp4_scene_8,F,Outdoor,Combat,Medium close up,Selfie
7288863058158472449.mp4_scene_9,no_spox,Outdoor,Combat,Empty,Non-selfie
7288863058158472449.mp4_scene_10,F,Outdoor,Combat,Medium close up,Selfie
7288863058158472449.mp4_scene_11,no_spox,Outdoor,Combat,Empty,Non-selfie
7288863058158472449.mp4_scene_12,no_spox,Outdoor,Combat,Empty,Non-selfie
7288863058158472449.mp4_scene_13,no_spox,Outdoor,Combat,Empty,Non-selfie
7288863058158472449.mp4_scene_14,no_spox,Outdoor,Combat,Empty,Non-selfie
7289130085691493633.mp4_scene_1,F,Outdoor,Non-combat,Medium shot,Non-selfie
7289287958908144897.mp4_scene_1,M,Outdoor,Non-combat,Close up,Non-selfie
7289287958908144897.mp4_scene_2,no_spox,Outdoor,Non-combat,Medium full shot,Non-selfie
7289287958908144897.mp4_scene_3,M,Outdoor,Non-combat,Close up,Non-selfie
7289287958908144897.mp4_scene_4,M,Outdoor,Non-combat,Close up,Non-selfie
7289287958908144897.mp4_scene_5,no_spox,Outdoor,Non-combat,Medium close up,Non-selfie
7289287958908144897.mp4_scene_6,M,Outdoor,Non-combat,Close up,Non-selfie
