id,url,from_dataset,start_frame,start_time,start_fps,end_frame,end_time,end_fps,scene_num,num_scenes_detected,total_video_frames,total_video_duration,face_locations_list,face_count,face_list,gender_list,m_count,f_count,spox_gender,shot_scale_vlm_1a_01,shot_scale_vlm_1a_02,shot_scale_vlm_1a_03,shot_scale_vlm_1a_04_tuple,shot_scale_vlm_1a_05_filler,shot_scale_vlm_1a_06,shot_scale_vlm_1a_07,shot_scale_vlm_1a_08,shot_scale_vlm_1a_09_tuple,shot_scale_vlm_1a_10_filler,shot_scale_vlm_1b_01,shot_scale_vlm_1b_02,shot_scale_vlm_1b_03,shot_scale_vlm_1b_04_tuple,shot_scale_vlm_1b_05_filler,shot_scale_vlm_1b_06,shot_scale_vlm_1b_07,shot_scale_vlm_1b_08,shot_scale_vlm_1b_09_tuple,shot_scale_vlm_1b_10_filler,shot_scale_vlm_1c_01,shot_scale_vlm_1c_02,shot_scale_vlm_1c_03,shot_scale_vlm_1c_04_tuple,shot_scale_vlm_1c_05_filler,shot_scale_vlm_1c_06,shot_scale_vlm_1c_07,shot_scale_vlm_1c_08,shot_scale_vlm_1c_09_tuple,shot_scale_vlm_1c_10_filler,shot_scale_classifier_1,shot_scale_classifier_2,shot_scale_classifier_3,setting_vlm_2a_01,setting_vlm_2b_01,setting_vlm_2c_01,location_vlm_01,location_vlm_02,location_vlm_03,combat_presence_vlm_01,combat_presence_vlm_02,combat_presence_vlm_03
7357772207445134608.mp4_scene_1,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,0,0 days 00:00:00,30.0,61,0 days 00:00:02.033000,30.0,1,34,2126,0 days 00:01:10.867000,"[(222, 386, 407, 201)]",1,['CPT Tammy Shur'],['F'],0,1,F,Medium close up,Medium close up,Medium close up,"('Medium close up', 'The subject's face and upper body are fully visible, with focus on their expression and gestures.')",Medium close up,Medium shot,Medium shot,Medium shot,"('Close up', 'The subject occupies most of the frame from head to shoulders and there are no other discernible subjects or background details.')",Medium shot,MCU,MCU,MCU,"('MCU', 'The subject is framed from chest up and takes up most of the frame, focusing on their upper body and face.')",MCU,CU,CU,CU,"('CU', 'The subject occupies most of the frame from head to shoulders, with the background being minimal and not distracting.')",CU,Medium close up,Medium close up,Medium close up,"('Medium close up', 'The subject is framed from the chest up and takes up most of the frame.')",Medium close up,Close up,Close up,Close up,"('Medium close up', 'The subject is framed from the head up and takes up most of the frame, with a clear focus on the person speaking.')","The shot scale of this still image is a ""Close up"". The subject, a person in military uniform, occupies most of the frame from head to shoulders.",Medium shot,Medium shot,Medium shot,blue screen,blue screen,military base,Indoor,Indoor,Indoor,Non-combat,Non-combat,Non-combat
7357772207445134608.mp4_scene_2,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,61,0 days 00:00:02.033000,30.0,83,0 days 00:00:02.767000,30.0,2,34,2126,0 days 00:01:10.867000,[],0,[],[],0,0,no_spox,Uncertain,Uncertain,Uncertain,"('Wide shot', 'The subject (a structure) is fully visible with significant background dominating them, indicating it's a wide shot.')",Empty,Wide shot,Wide shot,Wide shot,"('Wide shot', 'The frame shows a wide view of the sky with a red hue and some text overlaying it, but no discernible subject or focus within the frame itself.')",Wide shot,WS,WS,WS,"('WS', 'The frame shows a wide view with a large structure and sky dominating the scene, indicating it's a Wide Shot as the background is prominent and the subject (the structure) is not fully visible from head to toe.')",Empty,Empty,Empty,Empty,"('WS', 'The shot captures the sky and some structures on the ground, but the subject is not clearly defined within this frame.')",Empty,Uncertain,Uncertain,Uncertain,"('Wide shot', 'The subject (a structure) is fully visible with significant background dominating them, indicating a wide shot.')",Wide shot,Wide shot,Wide shot,Wide shot,"(Uncertain, Motivation: The image appears to be a wide shot with a red sky and some structures visible, but it's difficult to determine if there is a clear subject due to the lack of context.)",The shot scale of this still image is 'Wide shot'.,Empty,Empty,Empty,night sky,urban night,night sky,Outdoor,Outdoor,Outdoor,Non-combat,Non-combat,Non-combat
7357772207445134608.mp4_scene_3,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,83,0 days 00:00:02.767000,30.0,121,0 days 00:00:04.033000,30.0,3,34,2126,0 days 00:01:10.867000,[],0,[],[],0,0,no_spox,Uncertain,Uncertain,Uncertain,"('Empty', 'The frame contains only text and no discernible subject or focus')",Empty,Empty,Empty,Empty,"('Empty', 'The image is completely black with no discernible subject or focus, only showing the text and background colors.')",Empty,Empty,Empty,Empty,"('Empty', 'The frame contains only text and no discernible subject or focus')",Empty,Empty,Empty,Empty,"('Empty', 'The image is completely black with no visible subject or environment, making it an empty shot. The text is not considered part of the shot scale as it is overlaid on a black background and does not provide any visual information about the size or scale of the subject within the frame.')",Empty,Uncertain,Uncertain,Uncertain,"('Empty', 'The frame shows only text and no discernible subject or focus.')",Empty,Uncertain.,Uncertain.,Uncertain.,"('Empty', 'The image is completely black with no discernible subject or focus, only text and a logo are present.')","The shot scale of this still image is ""Empty"".",Empty,Empty,Empty,dark text on black,dark room,military base,Graphics,Graphics,Graphics,Graphics,Graphics,Graphics
7357772207445134608.mp4_scene_4,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,121,0 days 00:00:04.033000,30.0,221,0 days 00:00:07.367000,30.0,4,34,2126,0 days 00:01:10.867000,"[(242, 386, 428, 201)]",1,['CPT Tammy Shur'],['F'],0,1,F,Close up,Close up,Close up,"('Medium close up', 'The subject's head and shoulders are fully visible, with their face being the primary focus, indicating this shot scale.')",Close up,Medium shot,Medium shot,Medium shot,"('Full shot', 'The subject is fully visible from head to toe with the background less prominent than in wide shots.')",Close up,MCU,MCU,MCU,"('MCU', 'The subject is framed from chest up and takes up most of the frame, focusing on her upper body and face.')",MCU,CU,CU,CU,"('CU', 'The subject is framed from the head up to the shoulders and takes up most of the frame, with no other discernible subjects or background details visible.')",CU,Close up,Close up,Close up,"('Medium close up', 'The subject is framed from the chest up and takes up most of the frame.')",Medium close up,Medium close up,Medium close up,Close up,"('Medium close up', 'The subject is framed from the head up and takes up most of the frame, with a clear focus on the person speaking.')","The shot scale of this still image is ""Close up"".",Medium shot,Medium shot,Medium shot,interview setting,blue screen,military interview,Indoor,Indoor,Indoor,Non-combat,Non-combat,Non-combat
7357772207445134608.mp4_scene_5,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,221,0 days 00:00:07.367000,30.0,229,0 days 00:00:07.633000,30.0,5,34,2126,0 days 00:01:10.867000,[],0,[],[],0,0,no_spox,Empty,Empty,Empty,"('Empty', 'The frame shows only the TikTok logo and username on a black background with no discernible subject or focus.')",Empty,Empty,Empty,Empty,"('Empty', 'The frame is completely black with no visible subject or environment, making it impossible to determine any shot scale based on the given definitions.')",Empty,Empty,Empty,Empty,"('Empty', 'The frame shows only the TikTok logo and username against a black background with no discernible subject or focus.')",Empty,Empty,Empty,Empty,"('Empty', 'The image is completely black with no discernible subject or focus, only showing the dark background and text overlay.')",Empty,Empty,Empty,Empty,"('Empty', 'The frame shows only the TikTok logo and handle ""@idf"" on a black background with no discernible subject or focus.')",Empty,Empty,Empty,Empty,"('Empty', 'The image is completely black with no discernible subject or focus, only showing the setting or environment.')",Empty,Empty,Empty,Empty,black screen,black screen,black screen,Graphics,Graphics,Graphics,Graphics,Graphics,Graphics
7357772207445134608.mp4_scene_6,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,229,0 days 00:00:07.633000,30.0,269,0 days 00:00:08.967000,30.0,6,34,2126,0 days 00:01:10.867000,"[(242, 390, 464, 167)]",1,['CPT Tammy Shur'],['F'],0,1,F,Close up,Close up,Close up,"('Close up', 'The subject fills most of the frame and their face and upper body are clearly visible, indicating this shot scale.')",Close up,Close up,Close up,Close up,"('Close up', 'The subject takes up most of the frame from head to shoulders and there are no other discernible subjects or background details.')",Close up,MCU,MCU,MCU,"('MCU', 'The subject is framed from chest up and takes up most of the frame, focusing on their upper body and face.')",MCU,CU,CU,CU,"('CU', 'The subject fills most of the frame from head to shoulders, with no other significant objects or background details visible.')",CU,Close up,Close up,Close up,"('Medium close up', 'The subject is framed from the chest up and takes up most of the frame.')",Close up,Close up,Close up,Close up,"('Medium close up', 'The subject is framed from the head up and takes up most of the frame, with a clear focus on their face and upper body.')","The shot scale of this still image is ""Close up"".",Medium shot,Medium shot,Medium shot,military base,dark room,military base,Indoor,Indoor,Indoor,Non-combat,Non-combat,Non-combat
7357772207445134608.mp4_scene_7,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,269,0 days 00:00:08.967000,30.0,325,0 days 00:00:10.833000,30.0,7,34,2126,0 days 00:01:10.867000,"[(222, 386, 407, 201)]",1,['CPT Tammy Shur'],['F'],0,1,F,Close up,Close up,Close up,"('Medium close up', 'The subject is framed from the chest up and takes up most of the frame, focusing on their upper body and face.')",Close up,Medium shot,Medium shot,Close up,"('Full shot', 'The subject is fully visible from head to toe with the background less prominent than in wide shots.')",Close up,MCU,MCU,MCU,"('MCU', 'The subject is framed from the chest up and takes up most of the frame, focusing on her upper body and face.')",MCU,CU,CU,CU,"('CU', 'The subject occupies most of the frame from head to shoulders, with no other significant objects or background details visible.')",CU,Close up,Close up,Close up,"('Medium close up', 'The subject is framed from the chest up and takes up most of the frame.')",Medium close up,Medium shot,Close up,Close up,"('Medium close up', 'The subject occupies most of the frame from head to shoulders, with the background minimal and not distracting.')",Close up,Medium shot,Medium shot,Medium shot,blue screen,blue screen,military base,Indoor,Indoor,Indoor,Non-combat,Non-combat,Non-combat
7357772207445134608.mp4_scene_8,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,325,0 days 00:00:10.833000,30.0,363,0 days 00:00:12.100000,30.0,8,34,2126,0 days 00:01:10.867000,[],0,[],[],0,0,no_spox,Wide shot,Wide shot,Wide shot,"('Wide shot', 'The missile is fully visible with its full length and the surrounding environment, including the sky and landscape, dominating the frame.')",Wide shot,Wide shot,Wide shot,Wide shot,"('Wide shot', 'The rocket launch dominates the frame with the background of the desert and sky providing context but not overshadowing the subject')",Wide shot,WS,WS,WS,"('WS', 'The missile is fully visible with its entire length and the surrounding environment, including the sky and landscape, dominating the frame.')",WS,WS (Wide Shot),WS (Wide Shot),WS (Wide Shot),"('WS', 'The rocket launch is fully visible with the background (the sky and landscape) dominating the frame, making it a wide shot rather than a full shot or any other type of shot scale.')",MS,Close up,Wide shot,Wide shot,"('Wide shot', 'The missile and its immediate surroundings are fully visible with the background dominating the frame, indicating a wide shot.')",Medium shot,Medium shot.,Wide shot,Wide shot.,"('Medium full shot', 'The rocket launch is fully visible from the ground up, with the surrounding environment providing context but not dominating the frame.')","The shot scale of this still image is a ""Wide shot"". The subject, the rocket launch, is visible in full with the background dominating them.",Empty,Empty,Empty,desert,desert launch,desert,Outdoor,Outdoor,Outdoor,Combat,Combat,Combat
7357772207445134608.mp4_scene_9,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,363,0 days 00:00:12.100000,30.0,388,0 days 00:00:12.933000,30.0,9,34,2126,0 days 00:01:10.867000,[],0,[],[],0,0,no_spox,Uncertain,Uncertain,Uncertain,"('Wide shot', 'The subject (a UAV) is fully visible with its surroundings dominating it, indicating a wide shot.')",Medium shot,Wide shot,Medium shot,Wide shot,"('Wide shot', 'The subject (UAVs) occupies a significant portion of the frame with the background (desert landscape) providing context but not overwhelming the main focus.')",Empty,MCU,MCU,MCU,"('WS', 'The shot shows an expansive view with no discernible subject or focus, emphasizing the vastness and setting rather than any specific person or object.')",Empty,Empty,Empty,Empty,"('WS', 'The shot includes the subject (a vehicle) and its surroundings, with the background dominating the frame, indicating that the subject is not the main focus of this shot.')",Empty,Uncertain,Uncertain,Uncertain,"('Wide shot', 'The subject (a UAV) is fully visible with its surroundings dominating it, indicating a wide shot.')",Empty,Medium shot,Medium shot,Medium shot,"(Uncertain, Motivation: The image appears to be a close-up view of a vehicle or drone on a sandy surface, but it is difficult to determine the exact shot scale due to limited context and framing.)",The shot scale of this still image is 'Wide shot'.,Empty,Empty,Empty,desert,desert landscape,desert terrain,Indoor,Indoor,Indoor,Non-combat,Non-combat,Non-combat
7357772207445134608.mp4_scene_10,7357772207445134608,3d0ad485936bf3a6518f8633d15848b8,388,0 days 00:00:12.933000,30.0,419,0 days 00:00:13.967000,30.0,10,34,2126,0 days 00:01:10.867000,[],0,[],[],0,0,no_spox,Medium shot,Medium shot,Medium shot,"('Wide shot', 'The frame shows two cruise missiles fully visible with their full length and some background details like the blue curtain and green floor, indicating a wide shot where the subject is seen in full but not dominating the frame.')",Medium shot,Wide shot,Wide shot,Wide shot,"('Wide shot', 'The subject (missiles) takes up a significant portion of the frame with the background (curtain and green surface) providing context but not dominating the scene.')",Wide shot,MCU,MCU,MCU,"('WS', ""The frame shows two cruise missiles fully visible with their surroundings dominating them, indicating a wide shot."")",MCU,Empty,Empty,Empty,"('WS', 'The shot includes the subject (missiles) and the background (curtain), making it a wide shot where the subject is not the only focus of the frame.')",Empty,Medium shot,Medium shot,Medium shot,"('Wide shot', 'The missiles are fully visible with their full length and part of the surrounding environment, indicating a wide shot where the background dominates the subject.')",Medium full shot,Medium shot,Medium shot,Medium shot,"('Medium full shot', 'The subject (missiles) takes up most of the frame from the knees up, with the background showing a green surface and part of a blue curtain.)",The shot scale of this still image is 'Medium full shot'.,Empty,Empty,Empty,military display,military display,military display,Indoor,Indoor,Indoor,Non-combat,Non-combat,Non-combat
