column,model,prompt,start_time,end_time,elapsed_time
shot_scale_vlm_1b_01,qwen2.5-vl-7b-instruct,"You are an expert annotator with a focus on cinematography. Analyze the provided image and classify its shot scale into these mutually exclusive categories with the following definitions: Empty: frame has no discernible subject or focus, showing only the setting or environment; WS (Wide Shot): subject can be seen in full with the background dominating them; FS (Full Shot): subject fully visible from head to toe. The background is less prominent in full shots than wide shots; MFS (Medium Full Shot): subject is framed from the knees up; MS (Medium Shot): subject is framed from the waist up; MCU (Medium Close‑Up): subject framed from the chest up; CU (Close‑Up): subject is framed from the head up to the shoulders and takes up most of the frame. However, if you are uncertain, return 'Uncertain'. Return only one of these labels: 'Empty', 'WS', 'FS', 'MFS', 'MS', 'MCU', 'CU' or 'Uncertain'.",2025-06-01 00:45:42,2025-06-01 04:05:48,0 days 03:20:06
shot_scale_vlm_1b_02,qwen2.5-vl-7b-instruct,"You are an expert annotator with a focus on cinematography. Analyze the provided image and classify its shot scale into these mutually exclusive categories with the following definitions: Empty: frame has no discernible subject or focus, showing only the setting or environment; WS (Wide Shot): subject can be seen in full with the background dominating them; FS (Full Shot): subject fully visible from head to toe. The background is less prominent in full shots than wide shots; MFS (Medium Full Shot): subject is framed from the knees up; MS (Medium Shot): subject is framed from the waist up; MCU (Medium Close‑Up): subject framed from the chest up; CU (Close‑Up): subject is framed from the head up to the shoulders and takes up most of the frame. However, if you are uncertain, return 'Uncertain'. Return only one of these labels: 'Empty', 'WS', 'FS', 'MFS', 'MS', 'MCU', 'CU' or 'Uncertain'.",2025-06-01 07:00:47,2025-06-01 10:22:59,0 days 03:22:12
shot_scale_vlm_1b_03,qwen2.5-vl-7b-instruct,"You are an expert annotator with a focus on cinematography. Analyze the provided image and classify its shot scale into these mutually exclusive categories with the following definitions: Empty: frame has no discernible subject or focus, showing only the setting or environment; WS (Wide Shot): subject can be seen in full with the background dominating them; FS (Full Shot): subject fully visible from head to toe. The background is less prominent in full shots than wide shots; MFS (Medium Full Shot): subject is framed from the knees up; MS (Medium Shot): subject is framed from the waist up; MCU (Medium Close‑Up): subject framed from the chest up; CU (Close‑Up): subject is framed from the head up to the shoulders and takes up most of the frame. However, if you are uncertain, return 'Uncertain'. Return only one of these labels: 'Empty', 'WS', 'FS', 'MFS', 'MS', 'MCU', 'CU' or 'Uncertain'.",2025-06-01 10:35:04,2025-06-01 13:54:22,0 days 03:19:18
shot_scale_vlm_1b_06,qwen2-vl-7b-instruct,"You are an expert annotator with a focus on cinematography. Analyze the provided image and classify its shot scale into these mutually exclusive categories with the following definitions: Empty: frame has no discernible subject or focus, showing only the setting or environment; WS (Wide Shot): subject can be seen in full with the background dominating them; FS (Full Shot): subject fully visible from head to toe. The background is less prominent in full shots than wide shots; MFS (Medium Full Shot): subject is framed from the knees up; MS (Medium Shot): subject is framed from the waist up; MCU (Medium Close‑Up): subject framed from the chest up; CU (Close‑Up): subject is framed from the head up to the shoulders and takes up most of the frame. However, if you are uncertain, return 'Uncertain'. Return only one of these labels: 'Empty', 'WS', 'FS', 'MFS', 'MS', 'MCU', 'CU' or 'Uncertain'.",2025-06-02 20:35:55.933789,2025-06-03 01:19:07.780090,0 days 04:43:11.846301
shot_scale_vlm_1b_07,qwen2-vl-7b-instruct,"You are an expert annotator with a focus on cinematography. Analyze the provided image and classify its shot scale into these mutually exclusive categories with the following definitions: Empty: frame has no discernible subject or focus, showing only the setting or environment; WS (Wide Shot): subject can be seen in full with the background dominating them; FS (Full Shot): subject fully visible from head to toe. The background is less prominent in full shots than wide shots; MFS (Medium Full Shot): subject is framed from the knees up; MS (Medium Shot): subject is framed from the waist up; MCU (Medium Close‑Up): subject framed from the chest up; CU (Close‑Up): subject is framed from the head up to the shoulders and takes up most of the frame. However, if you are uncertain, return 'Uncertain'. Return only one of these labels: 'Empty', 'WS', 'FS', 'MFS', 'MS', 'MCU', 'CU' or 'Uncertain'.",2025-06-03 02:08:49.702904,2025-06-03 06:50:56.372182,0 days 04:42:06.669278
shot_scale_vlm_1b_08,qwen2-vl-7b-instruct,"You are an expert annotator with a focus on cinematography. Analyze the provided image and classify its shot scale into these mutually exclusive categories with the following definitions: Empty: frame has no discernible subject or focus, showing only the setting or environment; WS (Wide Shot): subject can be seen in full with the background dominating them; FS (Full Shot): subject fully visible from head to toe. The background is less prominent in full shots than wide shots; MFS (Medium Full Shot): subject is framed from the knees up; MS (Medium Shot): subject is framed from the waist up; MCU (Medium Close‑Up): subject framed from the chest up; CU (Close‑Up): subject is framed from the head up to the shoulders and takes up most of the frame. However, if you are uncertain, return 'Uncertain'. Return only one of these labels: 'Empty', 'WS', 'FS', 'MFS', 'MS', 'MCU', 'CU' or 'Uncertain'.",2025-06-03 13:59:16.501321,2025-06-03 18:37:19.861228,0 days 04:38:03.359907
shot_scale_vlm_1a_01,qwen2.5-vl-7b-instruct,"You are an expert annotator with a focus on cinematography. Analyze the provided image and classify its shot scale using the following definitions: Empty: frame has no discernible subject or focus, showing only the setting or environment; Wide shot: subject can be seen in full with the background dominating them; Full shot: subject fully visible from head to toe. The background is less prominent in full shots than wide shots; Medium full shot: subject is framed from the knees up; Medium shot: subject framed from the waist up; Medium close up: subject framed from the chest up; Close up: subject is framed from the head up to the shoulders and takes up most of the frame. However, if you are uncertain, return 'Uncertain'. Return only one of these labels: 'Empty', 'Wide shot', 'Full shot', 'Medium full shot' 'Medium shot', 'Medium close up', 'Close up' or 'Uncertain'.",2025-06-04 01:23:06.455586,2025-06-04 04:41:32.358223,0 days 03:18:25.902637
shot_scale_vlm_1a_02,qwen2.5-vl-7b-instruct,"You are an expert annotator with a focus on cinematography. Analyze the provided image and classify its shot scale using the following definitions: Empty: frame has no discernible subject or focus, showing only the setting or environment; Wide shot: subject can be seen in full with the background dominating them; Full shot: subject fully visible from head to toe. The background is less prominent in full shots than wide shots; Medium full shot: subject is framed from the knees up; Medium shot: subject framed from the waist up; Medium close up: subject framed from the chest up; Close up: subject is framed from the head up to the shoulders and takes up most of the frame. However, if you are uncertain, return 'Uncertain'. Return only one of these labels: 'Empty', 'Wide shot', 'Full shot', 'Medium full shot' 'Medium shot', 'Medium close up', 'Close up' or 'Uncertain'.",2025-06-05 03:36:10.186169,2025-06-05 06:51:26.610830,0 days 03:15:16.424661
shot_scale_vlm_1a_04_tuple,qwen2.5-vl-7b-instruct,"You are an expert annotator with a focus on cinematography. Analyze the provided image and classify its shot scale using the following definitions: Empty: frame has no discernible subject or focus, showing only the setting or environment; Wide shot: subject can be seen in full with the background dominating them; Full shot: subject fully visible from head to toe. The background is less prominent in full shots than wide shots; Medium full shot: subject is framed from the knees up; Medium shot: subject framed from the waist up; Medium close up: subject framed from the chest up; Close up: subject is framed from the head up to the shoulders and takes up most of the frame. However, if you are uncertain, return 'Uncertain'. Respond with a Python-style tuple in the format: ('classification', 'motivation' - ‘classification’ must be one of:'Empty', 'Wide shot', 'Full shot', 'Medium full shot' 'Medium shot', 'Medium close up', 'Close up' or 'Uncertain'; ‘motivation’ is a justification of your classification in 50 words or fewer, explaining what visual elements in the image led to your choice or uncertainty.",2025-06-05 10:39:00.425584,2025-06-05 15:06:46.143640,0 days 04:27:45.718056
shot_scale_vlm_1a_03,qwen2.5-vl-7b-instruct,"You are an expert annotator with a focus on cinematography. Analyze the provided image and classify its shot scale using the following definitions: Empty: frame has no discernible subject or focus, showing only the setting or environment; Wide shot: subject can be seen in full with the background dominating them; Full shot: subject fully visible from head to toe. The background is less prominent in full shots than wide shots; Medium full shot: subject is framed from the knees up; Medium shot: subject framed from the waist up; Medium close up: subject framed from the chest up; Close up: subject is framed from the head up to the shoulders and takes up most of the frame. However, if you are uncertain, return 'Uncertain'. Return only one of these labels: 'Empty', 'Wide shot', 'Full shot', 'Medium full shot' 'Medium shot', 'Medium close up', 'Close up' or 'Uncertain'.",2025-06-05 17:39:21.241914,2025-06-05 20:53:35.368993,0 days 03:14:14.127079
