id,column,annotation,noise_type
7357772207445134608.mp4_scene_1,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Close up"". The subject, a person in military uniform, occupies most of the frame from head to shoulders.",Invalid label
7357772207445134608.mp4_scene_2,shot_scale_vlm_1c_09_tuple,"(Uncertain, Motivation: The image appears to be a wide shot with a red sky and some structures visible, but it's difficult to determine if there is a clear subject due to the lack of context.)",Tuple format error
7357772207445134608.mp4_scene_2,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Wide shot'.,Invalid label
7357772207445134608.mp4_scene_3,shot_scale_vlm_1c_06,Uncertain.,Invalid label
7357772207445134608.mp4_scene_3,shot_scale_vlm_1c_07,Uncertain.,Invalid label
7357772207445134608.mp4_scene_3,shot_scale_vlm_1c_08,Uncertain.,Invalid label
7357772207445134608.mp4_scene_3,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Empty"".",Invalid label
7357772207445134608.mp4_scene_4,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Close up"".",Invalid label
7357772207445134608.mp4_scene_6,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Close up"".",Invalid label
7357772207445134608.mp4_scene_8,shot_scale_vlm_1b_06,WS (Wide Shot),Invalid label
7357772207445134608.mp4_scene_8,shot_scale_vlm_1b_07,WS (Wide Shot),Invalid label
7357772207445134608.mp4_scene_8,shot_scale_vlm_1b_08,WS (Wide Shot),Invalid label
7357772207445134608.mp4_scene_8,shot_scale_vlm_1c_06,Medium shot.,Invalid label
7357772207445134608.mp4_scene_8,shot_scale_vlm_1c_08,Wide shot.,Invalid label
7357772207445134608.mp4_scene_8,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Wide shot"". The subject, the rocket launch, is visible in full with the background dominating them.",Invalid label
7357772207445134608.mp4_scene_9,shot_scale_vlm_1c_09_tuple,"(Uncertain, Motivation: The image appears to be a close-up view of a vehicle or drone on a sandy surface, but it is difficult to determine the exact shot scale due to limited context and framing.)",Tuple format error
7357772207445134608.mp4_scene_9,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Wide shot'.,Invalid label
7357772207445134608.mp4_scene_10,shot_scale_vlm_1c_09_tuple,"('Medium full shot', 'The subject (missiles) takes up most of the frame from the knees up, with the background showing a green surface and part of a blue curtain.)",Tuple format error
7357772207445134608.mp4_scene_10,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Medium full shot'.,Invalid label
7357772207445134608.mp4_scene_11,shot_scale_vlm_1c_06,Medium shot.,Invalid label
7357772207445134608.mp4_scene_11,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Medium shot"".",Invalid label
7357772207445134608.mp4_scene_12,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Close up"".",Invalid label
7357772207445134608.mp4_scene_13,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The provided image appears to be a map with text and a red circle highlighting Iran. There are no discernible subjects or focus points within the frame, making it difficult to classify the shot scale accurately.",Tuple format error
7357772207445134608.mp4_scene_13,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Empty'.,Invalid label
7357772207445134608.mp4_scene_14,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Close up"".",Invalid label
7357772207445134608.mp4_scene_15,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Close up"".",Invalid label
7357772207445134608.mp4_scene_16,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Close up"".",Invalid label
7357772207445134608.mp4_scene_17,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Close up"".",Invalid label
7357772207445134608.mp4_scene_18,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Medium shot"".",Invalid label
7357772207445134608.mp4_scene_19,shot_scale_vlm_1a_09_tuple,"('Uncertain', 'The image appears to be a still from a video with text overlay and a blurred object in the center. The lack of clear subject matter makes it difficult to determine the shot scale accurately. However, the blurred object could potentially be a medium close up or close up if more details were visible.)",Tuple format error
7357772207445134608.mp4_scene_19,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The image appears to be an overlay with text and graphics, lacking any discernible subject or focus within the frame. It is not a video still but rather a static graphic with no background details visible.)",Tuple format error
7357772207445134608.mp4_scene_19,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be an empty frame with no discernible subject or focus, showing only the setting or environment. However, the presence of text and a crosshair suggests that there may be some subject matter in the background or on a different layer, making it difficult to classify with certainty.",Tuple format error
7357772207445134608.mp4_scene_19,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Medium close up'.,Invalid label
7357772207445134608.mp4_scene_20,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Close up"".",Invalid label
7357772207445134608.mp4_scene_21,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The frame shows a night sky with two bright lights and some smoke trails, but no discernible subject or focus is present within this shot scale category.)",Tuple format error
7357772207445134608.mp4_scene_21,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The image appears to be an empty shot with no discernible subject or focus, showing only the night sky and lights. However, there may be some faint outlines that could suggest a subject in the distance, making it difficult to classify with certainty.",Tuple format error
7357772207445134608.mp4_scene_21,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Wide shot'.,Invalid label
7357772207445134608.mp4_scene_22,shot_scale_vlm_1c_09_tuple,"('Wide shot', 'The subject (the Dome of the Rock) is visible from head to toe with the background (night sky and surrounding area) dominating a significant portion of the frame, indicating a wide shot.)",Tuple format error
7357772207445134608.mp4_scene_22,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Wide shot'.,Invalid label
7357772207445134608.mp4_scene_23,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Medium shot"". The subject (a person holding a flag) is framed from the waist up, and the background is visible but not as prominent as in a wide shot.",Invalid label
7357772207445134608.mp4_scene_24,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Wide shot'.,Invalid label
7357772207445134608.mp4_scene_25,shot_scale_vlm_1b_09_tuple,"('Empty', 'Motivation: The frame shows a night sky with clouds and a bright light source, but no discernible subject or focus within the visible area of the shot. The text overlay is not considered part of the visual content.)",Tuple format error
7357772207445134608.mp4_scene_25,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Wide shot'.,Invalid label
7357772207445134608.mp4_scene_27,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Close up"". The subject (a person in military uniform) takes up most of the frame from head to shoulders, with minimal background detail.",Invalid label
7357772207445134608.mp4_scene_28,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a Medium shot. The subject, which is the missile system, is framed from the waist up and takes up most of the frame.",Invalid label
7357772207445134608.mp4_scene_29,shot_scale_vlm_1b_06,WS (Wide Shot),Invalid label
7357772207445134608.mp4_scene_29,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Wide shot'.,Invalid label
7357772207445134608.mp4_scene_30,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Medium close up'.,Invalid label
7357772207445134608.mp4_scene_31,shot_scale_vlm_1a_09_tuple,"('Uncertain', 'Motivation')",Motivation too short
7357772207445134608.mp4_scene_31,shot_scale_vlm_1a_10_filler,The image is a Close up shot.,Invalid label
7357772207445134608.mp4_scene_31,shot_scale_vlm_1c_09_tuple,"(Uncertain, 'Motivation') - The provided image appears to be an empty frame with no discernible subject or focus, showing only the setting or environment. However, without additional context or visual elements, it's challenging to confidently classify the shot scale.",Tuple format error
7357772207445134608.mp4_scene_31,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Medium close up'.,Invalid label
7357772207445134608.mp4_scene_32,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a ""Medium shot"". The subject, a person in military uniform, is framed from the waist up and takes up most of the frame.",Invalid label
7357772207445134608.mp4_scene_33,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Wide shot'.,Invalid label
7357772207445134608.mp4_scene_34,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is ""Close up"".",Invalid label
7288363457341164801.mp4_scene_1,shot_scale_vlm_1c_10_filler,The shot scale of this still image is a Close up.,Invalid label
7288363457341164801.mp4_scene_2,shot_scale_vlm_1c_09_tuple,"(Uncertain, Motivation: The image appears to be a wide shot with the background dominating the scene, but it's difficult to determine if there is a discernible subject due to the lack of clear focus and the presence of multiple elements in the frame.)",Tuple format error
7288363457341164801.mp4_scene_2,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is 'Medium full shot'. The subject (a person lying on the ground) is framed from the knees up, with the background showing a bus stop and surrounding environment.",Invalid label
7288363457341164801.mp4_scene_3,shot_scale_vlm_1c_10_filler,"The shot scale of this still image is a Medium shot. The subject (a person in military uniform) is framed from the waist up, and the background is visible but not as prominent as in a wide shot.",Invalid label
7288363457341164801.mp4_scene_4,shot_scale_vlm_1b_06,WS (Wide Shot),Invalid label
7288363457341164801.mp4_scene_4,shot_scale_vlm_1b_07,WS (Wide Shot),Invalid label
7288363457341164801.mp4_scene_4,shot_scale_vlm_1c_06,Wide shot.,Invalid label
7288363457341164801.mp4_scene_4,shot_scale_vlm_1c_07,Wide shot.,Invalid label
7288363457341164801.mp4_scene_4,shot_scale_vlm_1c_08,Wide shot.,Invalid label
7288363457341164801.mp4_scene_4,shot_scale_vlm_1c_10_filler,The shot scale of this still image is 'Wide shot'.,Invalid label
7288363457341164801.mp4_scene_5,shot_scale_vlm_1b_06,WS (Wide Shot),Invalid label
7288363457341164801.mp4_scene_5,shot_scale_vlm_1b_07,WS (Wide Shot),Invalid label
